Gene ID,Gene Name,Col.0,pp7l.1
AT2G20370,MUR3,122.31568394425358,99.47063596770208
AT2G20380,NA,0,0.9210244071083526
AT2G20390,NA,29.833093644939897,22.104585770600462
AT2G20400,NA,26.849784280445906,23.94663458481717
AT2G20410,NA,507.16259196397823,1478.244173408906
AT2G20420,NA,417.66331102915854,392.35639742815823
AT2G20430,RIC6,0,0
AT2G20440,NA,25.35812959819891,36.840976284334104
AT2G20450,RPL14A,187.94848996312135,279.07039535383086
AT2G20463,NA,0.7458273411234975,0
AT2G20465,NA,0,0
AT2G20470,NA,1.491654682246995,0
AT2G20480,NA,2.237482023370492,6.447170849758469
AT2G20490,NOP10,92.48259029931369,164.8633688723951
AT2G20495,NA,23.86647491595192,37.76200069144246
AT2G20500,NA,0,0
AT2G20510,ATTIM44-1,5.220791387864482,4.605122035541763
AT2G20515,NA,17.15402884584044,35.919951877225756
AT2G20520,FLA6,26.849784280445906,65.39273290469303
AT2G20530,PHB6,105.16165509841314,88.41834308240185
AT2G20540,PCMP-E78,7.458273411234974,13.815366106625289
AT2G20550,NA,6.7124460701114765,7.368195256866821
AT2G20560,NA,191.67762666873884,221.04585770600463
AT2G20562,NA,27.595611621569404,48.81429357674269
AT2G20570,GPRI1,369.93036119725474,334.331859780332
AT2G20580,RPN1A,718.231729501928,668.663719560664
AT2G20585,NFD6,92.48259029931369,81.05014782553503
AT2G20590,RTNLB17,16.408201504716942,13.815366106625289
AT2G20595,NA,0,0
AT2G20597,NA,0,0
AT2G20605,NA,0,0
AT2G20610,SUR1,206.59417349120878,141.8377586946863
AT2G20613,NA,0,0
AT2G20616,NA,0,0
AT2G20618,NA,0,0
AT2G20619,NA,0,0
AT2G20620,NA,0,0
AT2G20625,NA,0,0
AT2G20630,PPC3-1.2,199.13590007997382,222.88790652022135
AT2G20635,BUB1,25.35812959819891,17.4994637350587
